CASE_STATUS,AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,SWA_NAME,CITY_MATCH,STATE_MATCH,WORK_DAY_LENGTH,DAYTIME_WORK,HAS_OVERTIME
1,1,37,56,49,1,seasonal,40.0,15.39,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,37,72,12,1,seasonal,35.0,15.64,0.0,none,0.0,0.0,0,different,different,8.5,1.0,1
1,1,35,72,2,1,peakload,35.0,11.36,0.0,none,0.0,0.0,0,different,different,6.0,1.0,0
1,1,37,56,2,1,peakload,40.0,14.58,0.0,none,0.0,0.0,0,different,different,8.0,1.0,0
1,1,35,71,2,1,seasonal,35.0,8.68,0.0,none,0.0,0.0,0,different,same,8.0,1.0,1
1,1,37,72,8,1,peakload,40.0,11.39,0.0,none,0.0,0.0,0,different,different,8.5,1.0,1
1,1,35,71,9,1,seasonal,40.0,12.32,0.0,none,0.0,0.0,0,different,different,9.0,0.0,0
1,1,47,23,6,1,seasonal,40.0,13.91,0.0,none,0.0,0.0,0,different,different,10.0,1.0,1
1,1,47,23,24,1,peakload,35.0,13.17,0.0,none,0.0,3.0,0,different,same,8.0,1.0,1
1,1,53,53,6,1,peakload,40.0,16.99,0.0,none,0.0,0.0,0,different,same,8.0,1.0,1
1,1,37,56,40,1,peakload,40.0,15.17,0.0,none,0.0,0.0,0,different,different,10.0,1.0,1
1,1,37,56,8,1,seasonal,40.0,15.17,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,37,56,6,1,peakload,35.0,16.15,0.0,none,0.0,0.0,0,different,same,8.0,1.0,1
1,1,53,23,1,1,seasonal,40.0,16.02,0.0,none,0.0,3.0,0,different,different,10.0,1.0,1
1,1,37,56,20,1,peakload,40.0,11.82,0.0,none,0.0,0.0,0,different,different,10.0,1.0,1
